question;type;sql;relevant_values;variation
¿Entonces, cómo estamos en comparación con el mes anterior?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_prev_month_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escola de Girona' AND m.""year_month"" = DATE '2024-03-01';";;rephrased_4
¿Y cómo se compara esto con el mes que pasó?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_prev_month_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE b.""name"" = 'Escola de Girona' AND m.""year_month"" = DATE '2024-03-01';";;rephrased_5
Cual es el edificio con mayor consumo en abril y cuanto cambio en comparación con el mes anterior?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;original
¿Qué edificio tuvo el consumo más alto en abril y cuánto varió respecto a marzo?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_1
Cual es el edifício que mas consumio en abril y que tanto cambio comparado con el mes pasado?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_2
Me podrías decir cuál edificio consumió más energía en abril y cuánto cambió ese consumo comparado con el mes anterior?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_3
Entre todos los edificios, ¿cuál fue el que consumió más en abril y cuál fue su cambio en comparación al mes previo?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_4
Dime cuál es el edifisio con mayor gasto en abril y cuánto difirió eso con respecto al mes anterior.;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_5
Cual es el edificio con menor consumo en abril y cuanto cambio en comparación con el mes anterior?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;original
¿Cuál fue el edificio que menos energía consumió en abril y cómo varió ese consumo respecto a marzo?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_1
Me podrias decir que edificio tubo el consumo más bajo en abril y cuanto cambió comparando con el mes antes?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_2
¿En abril, qué edificio tuvo el consumo más bajo y qué diferencia hubo con el mes anterior?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_3
¿Podrías indicarme cuál es el inmueble con menor uso energético en abril y cuánto se modificó respecto al mes previo?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_4
Oye, ¿sabes qué edificio gastó menos luz en abril y cuánto más o menos que en marzo?;Consumo Total Mensual;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"", m.""total_consumption_prev_month_kwh"", (m.""total_consumption_kwh"" - m.""total_consumption_prev_month_kwh"") AS diff_kwh FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2024-04-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_5
¿Cuál es el consumo total de energía de todos los edificios juntos en la semana actual?;Consumo total semanal;"SELECT w.""week_start"", SUM(w.""total_consumption_kwh"") AS total_consumption_kwh FROM smart_buildings.""energy_consumption_weekly_metrics"" w WHERE w.""week_start"" = DATE_TRUNC('week', CURRENT_DATE) GROUP BY w.""week_start"";";;original
¿Cuánta energía consumen en total todos los edificios durante esta semana?;Consumo total semanal;"SELECT w.""week_start"", SUM(w.""total_consumption_kwh"") AS total_consumption_kwh FROM smart_buildings.""energy_consumption_weekly_metrics"" w WHERE w.""week_start"" = DATE_TRUNC('week', CURRENT_DATE) GROUP BY w.""week_start"";";;rephrased_1
Me podes decir el consumo total de enrgía de todos los edficisos juntos esta seman?;Consumo total semanal;"SELECT w.""week_start"", SUM(w.""total_consumption_kwh"") AS total_consumption_kwh FROM smart_buildings.""energy_consumption_weekly_metrics"" w WHERE w.""week_start"" = DATE_TRUNC('week', CURRENT_DATE) GROUP BY w.""week_start"";";;rephrased_2
¿Cuál es el consumo conjunto de energía de todos los edificios en la semana actual?;Consumo total semanal;"SELECT w.""week_start"", SUM(w.""total_consumption_kwh"") AS total_consumption_kwh FROM smart_buildings.""energy_consumption_weekly_metrics"" w WHERE w.""week_start"" = DATE_TRUNC('week', CURRENT_DATE) GROUP BY w.""week_start"";";;rephrased_3
¿Cuánto se ha gastado en consumo de energía entre todos los edificios en estos últimos siete días?;Consumo total semanal;"SELECT w.""week_start"", SUM(w.""total_consumption_kwh"") AS total_consumption_kwh FROM smart_buildings.""energy_consumption_weekly_metrics"" w WHERE w.""week_start"" = DATE_TRUNC('week', CURRENT_DATE) GROUP BY w.""week_start"";";;rephrased_4
¿Cuál es el total de energía que utilizan los edificios, en conjunto, durante esta semana?;Consumo total semanal;"SELECT w.""week_start"", SUM(w.""total_consumption_kwh"") AS total_consumption_kwh FROM smart_buildings.""energy_consumption_weekly_metrics"" w WHERE w.""week_start"" = DATE_TRUNC('week', CURRENT_DATE) GROUP BY w.""week_start"";";;rephrased_5
¿Cuántos edificios redujeron su consumo energético con respecto al mes anterior?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" < 0;";;original
¿Cuántos edificios lograron disminuir su consumo de energía en comparación con el mes anterior?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" < 0;";;rephrased_1
¿En cuántos edificios bajó el gasto energético respecto al mes pasado?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" < 0;";;rephrased_2
¿Cuántos edificios tienen un consumo de energía más bajo que el mes anterior?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" < 0;";;rephrased_3
¿Cuantós edificios reduxerón su gasto energéteco comparado con el mes anteiror?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" < 0;";;rephrased_4
¿Cuántos edificios, incluyendo el Edificio Principal y el Torre Norte, disminuyeron su uso de energía con referencia al mes previo?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" < 0;";;rephrased_5
¿Cuántos edificios tienen un YTD de consumo energético por encima de 50000 kWh este año?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""ytd_consumption_kwh"" > 50000;";;original
¿Cuántos edificios presentan un consumo energético acumulado (YTD) superior a 50000 kWh durante este año?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""ytd_consumption_kwh"" > 50000;";;rephrased_1
¿Cuantos edificos tienen un consumo de energia en lo que va del año que pase de 50000 kWh?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""ytd_consumption_kwh"" > 50000;";;rephrased_2
¿Me podrías decir cuántos inmuebles están consumiendo más de 50000 kWh hasta la fecha en este año?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""ytd_consumption_kwh"" > 50000;";;rephrased_3
¿Qué cantidad de construcciones superan un consumo energético YTD de 50000 kWh en el transcurso del año actual?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""ytd_consumption_kwh"" > 50000;";;rephrased_4
Oye, ¿sabes cuántos edificios llevan un consumo energético encima de 50000 kWh ahora mismo este año?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""ytd_consumption_kwh"" > 50000;";;rephrased_5
¿Cuántos edificios tuvieron un aumento porcentual de consumo mensual mayor al 10% este mes?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" > 10;";;original
¿Cuántos inmuebles mostraron un incremento porcentual en el consumo mensual superior al 10% durante este mes?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" > 10;";;rephrased_1
¿Cuántos edificios tuvieron un aumento de consumo mensual por encima del 10% este mes?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" > 10;";;rephrased_2
Esta mes, ¿cuantos edificios experimento un subidón en consumo mensual que fue más de un 10%?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" > 10;";;rephrased_3
¿Podrías decirme cuántos edificios sufrieorn un incremento del consumo mensual mayor al diez por ciento en este mes?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" > 10;";;rephrased_4
Oye, ¿cuántos edificios subieron su consumo más del 10 por ciento en el último mes?;Conteo de edificios;"SELECT COUNT(*) AS count_buildings FROM smart_buildings.""energy_consumption_monthly_metrics"" m WHERE m.""year_month"" = DATE_TRUNC('month', CURRENT_DATE) AND m.""diff_pct_consumption_prev_month"" > 10;";;rephrased_5
¿Cuáles son los cinco edificios con mayor desviación estándar diaria en marzo de 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""std_daily_consumption_kwh"" DESC LIMIT 5;";;original
¿Me podrías decir cuáles son los cinco edificios que tuvieron la mayor desviación estándar diaria durante marzo de 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""std_daily_consumption_kwh"" DESC LIMIT 5;";;rephrased_1
Quiero saber qué cinco edificios presentaron la mayor variabilidad diaria en marzo 2025, ¿cuáles son?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""std_daily_consumption_kwh"" DESC LIMIT 5;";;rephrased_2
¿Cuáles 5 edifisios mostraron el mayor desvio estandar repeatido por día en el mes de marzo 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""std_daily_consumption_kwh"" DESC LIMIT 5;";;rephrased_3
Por favor, indíqueme los cinco edificios con la desviación estándar diaria más alta en el mes de marzo de 2025.;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""std_daily_consumption_kwh"" DESC LIMIT 5;";;rephrased_4
¿Cuáles edificios del listado presentan las cinco máximas desviaciones estándar diarias en marzo del 2025?  ;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""std_daily_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""std_daily_consumption_kwh"" DESC LIMIT 5;";;rephrased_5
¿Qué edificio tuvo el consumo total más bajo durante enero de 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-01-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;original
¿Cuál fue el edificio con el menor consumo total en enero de 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-01-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_1
En enero 2025, qué edificio consumió menos energia en total?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-01-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_2
¿Podrías decirme qué edificio tuvo el consumo total más bajo en enero de 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-01-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_3
¿Qué edificio gastó menos luz en enero 2025? Me refiero al total consumido.;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-01-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_4
Quién fue el edeficio con el consumo total minimo durante el mes de enero del 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-01-01' ORDER BY m.""total_consumption_kwh"" ASC LIMIT 1;";;rephrased_5
¿Qué edificio tuvo el mayor consumo total en marzo de 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;original
¿Cuál fue el edificio con el consumo total más alto durante marzo de 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_1
¿En marzo 2025, cuál edificio gastó más energía en total?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_2
Cuál edifício tuvo el mayor consumo total en marzo 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_3
Oye, ¿qué edificio se llevó la corona del consumo en marzo del 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_4
Podrías decirme qué construcción registró el consumo más elevado en marzo de 2025?;Ranking de edificios;"SELECT b.""name"" AS building_name, m.""year_month"", m.""total_consumption_kwh"" FROM smart_buildings.""building"" b JOIN smart_buildings.""energy_consumption_monthly_metrics"" m ON b.""cups"" = m.""cups"" WHERE m.""year_month"" = DATE '2025-03-01' ORDER BY m.""total_consumption_kwh"" DESC LIMIT 1;";;rephrased_5
